product_name,brands_tags,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,sodium_100g,serving_quantity,allergens_tags,traces
Kinder Country,Kinder,33.8,54.9,49.1,8.6,0.11,23.5,"en:gluten,en:milk,en:soybeans",
Kinder Bueno white,Kinder,35.9,53,43.9,8.5,0.000132,19.5,"en:gluten,en:milk,en:nuts,en:soybeans",
Kinder Maxi,Kinder,35,53.5,53.3,8.7,0.1252,21,"en:milk,en:soybeans,de:vollmichschokolade",
Kinder Bueno,Kinder,37.3,49.5,41.2,8.6,0.1088,21.5,"en:gluten,en:milk,en:nuts,en:soybeans",
Kinder Bueno Sparpack,Kinder,37.3,49.5,41.2,8.6,0.1088,,,
Kinder Bueno Dark,Kinder,40.6,46.1,36.7,9,0.0956,21.5,"en:gluten,en:milk,en:soybeans,de:haselnusse",
Kinder pingui,Kinder,28.3,41.5,34.5,5.3,0.0916,,"en:eggs,en:gluten,en:milk,en:soybeans",en:soybeans
Kinder Choccolato,Kinder,35,53.5,53.3,8.7,0.1252,,"en:gluten,en:milk,en:soybeans,es:burro",
Kinder Chocolat,Kinder,35,53.5,53.3,8.7,0.1252,12,"en:milk,en:soybeans",
Kinder Chocolate Easter Bars,Kinder,35,53.5,53.3,8.7,0.124,,,
Kinder Bueno White - 390 g,Kinder,35.9,53,43.6,8.8,0.1424,19.5,"en:gluten,en:milk,en:nuts",
Mini Kinder Chocolat,Kinder,35,53.5,53.3,8.7,0.1252,,"en:milk,en:soybeans",en:gluten
Chocolate Small Bars PMP- 8 x (100g),Kinder,35,53.5,53.3,8.7,0.124,,"en:milk,en:soybeans",
Kinder Maxi 5 barres,Kinder,35,53.5,53.3,8.7,0.1252,21,"en:milk,en:soybeans",
Kinder Maxi King,Kinder,37.5,38.2,35.6,6.7,0.0764,,"en:eggs,en:gluten,en:milk,en:nuts,en:soybeans",
Chocolate with cereals,Kinder,33.8,54.9,49.1,8.6,0.12,23.5,,
Kinder Maxi Piece,Kinder,35,53.5,53.3,8.7,0.1252,,"en:milk,en:soybeans",
Chocolate Bar,Kinder,35.2,53.6,52.8,8.8,0.12192,12.5,en:soybeans,
Kinder Country - 9 barres,Kinder,33.8,54.9,49.1,8.6,0.11,23.5,"en:gluten,en:milk,en:soybeans",
Kinder Chocolate Milk Chocolate Bars 10 X 12.5G,Kinder,35,53.5,53.3,8.7,0.1252,,"en:milk,en:soybeans",
Kit kat chunky lešnik,Nestle,30.57,59.4,52.93,,,42,"fr:lešnik,fr:mleko,fr:mlečna,fr:pšenično,fr:surutke,sr:lešnik,sr:mleko,sr:mlečna,sr:pšenično,sr:surutke","fr:Kikiriki,fr:Orašaste plodove"
Aero Milk Chocolate Bar,Nestle,34.6,51.7,50.4,8.33,0.0847,24,,"en:nuts,en:peanuts,en:soybeans"
Kitkat Peanut Butter,Nestle,31.2,52.8,45.3,10.4,0,,,
Lion breakfast cereal bar,Nestle,14,61,25,7.7,0.22,25,"en:gluten,en:milk,en:soybeans",en:nuts
Nesquick,Nestle,33,56,55.5,7.3,0.108,,"en:soybeans,sr:mleko,sr:mlečna,sr:surutka","en:gluten,sr:Jaja,sr:Jezgrasto voće,sr:Kikiriki"
Kit Kat Bites,Nestle,24.8,62.7,51.6,6.9,0.096,23,"en:gluten,en:milk","en:nuts,en:peanuts"
Kit Kat,Nestle,27.6,58.8,46.6,8.5,0.1,,en:gluten,
Chocolate con leche y almendras,Nestle,34.1,51.1,0.1,0.1,0.06,,"en:milk,en:nuts",
Nestle Kitkat 4 Fingers Chocolate,Nestle,26.5,63,51.5,8,0.04,20,"en:gluten,en:milk,en:soybeans",
Nestle Kitkat Chocolate,Nestle,5.1,12.4,10.1,1.6,0.008,,en:gluten,en:nuts
Kitkat Cookies & Cream Chocolate 2 Finger Biscuit Bar,Nestle,25.4,60.9,49.5,7.6,0.1,,,
Kitkat Milk Chocolate 2 Finger Biscuit Bar,Nestle,24.4,62.7,51,6.7,0.092,,,
Nestle Swiss Bar Milk Chocolate,Nestle,30.4,57.4,56.6,7.3,0.072,,,
Kit Kat Senses,Nestle,29.4,59.3,50.1,6.4,0.124,,,
Barre de céréales Fitness délice chocolat au lait,Nestle,7.7,66,24,6.7,0.252,22.5,"en:gluten,en:milk,en:soybeans",en:nuts
Fitness nutritious energy chocolate,Nestle,8,65.7,24.9,6.6,0.256,,"en:gluten,en:soybeans",
Musli Chocolate & Banana,Nestle,11.9,64.6,22.3,5.9,0.08,35,"en:gluten,en:milk,en:soybeans,pl:jęcmienny,pl:mleczna,pl:serwatka",en:nuts
Balaton Bumm,Nestle,9.5,27.8,21.6,2.4,0.096,42,,
KitKat mini,Nestle,28,59,48,8.2,0.096,16.7,"en:gluten,en:milk",
Milkybar with cookies,Nestle,31.9,57.2,57.2,7.6,0.097536,,,
Snack Bars with Milk,Nestle,9.8,67.3,24.2,6.3,0.04,27,"en:gluten,en:milk,en:soybeans,en:sulphur-dioxide-and-sulphites","en:gluten,en:nuts"
Kit Kat Dark,Nestle,25.8,61.1,45.9,5.7,0.02,20.7,,
Lion Chocolate Bar,Nestle,21.8,64.9,44.2,5.4,0.188,,,
Kit Kat Chunky,Nestle,29,56.5,46.7,8.4,0.076,12,"en:gluten,en:milk,en:peanuts,en:soybeans",en:peanuts
Kitkat Green Tea,Nestle,31.4,54.7,42.9,6.2,0,35,"en:gluten,en:milk","en:nuts,en:peanuts"
Kitkat Milk Chocolate Bar 4 Finger,Nestle,24.5,62.7,51,6.7,0.092,,,
Lion,Nestle,22.2,64.6,44.8,5.4,0.18,42,"en:gluten,en:milk","en:nuts,en:peanuts,en:soybeans"
Munchies,Nestle,22.4,64.5,56.3,5.4,0.12,,en:gluten,
Clusters crunchy choco,Nestle,12.7,61.9,23.8,6.4,0.24,35,"en:gluten,en:soybeans,fr:avoine","en:milk,en:nuts"
Kitkat Dark Chocolate Biscuit Bar,Nestle,25.4,60.7,46.4,5.4,0.02,,en:gluten,
Nestle Swiss Bar Dark Chocolate,Nestle,31.3,55.4,53.1,4.2,0.004,,,
Yorkie,Nestle,30.3,59.5,58.2,6,0.08,46,en:milk,
Aero Mint,Nestle,28.9,61.6,60.8,5.4,0.1,14,en:milk,
Nuts,Nestle,24.7,62.2,55.8,4.6,0.072,30,"en:eggs,en:milk,en:nuts","en:nuts,en:peanuts,en:soybeans"
Clusters Caramel & Choco,Nestle,12,63,24,6.3,0.268,35,"en:gluten,en:milk,en:soybeans,fr:avoine",en:nuts
Crunch,Nestle,25.8,62.4,50.4,6.5,0.14,16,,
Nestle Kit Kat Chunky Peanut Butter,Nestle,30.9,52.8,46.2,9.7,0.22,14,"en:gluten,en:milk,de:erdnusspaste,fr:erdnusspaste",en:nuts
Kitkat Raspberry 12 Mini Bars Raspberry Chocolate Kit Kat Nestle Japanese,Nestle,33.6,61.1,42.8,3.9,0.24,,,
